"CRASH_CRN","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","HOUR_OF_DAY","LOCATION_TYPE","MAX_SEVERITY_LEVEL","LONGITUDE","LATITUDE","SPEED_LIMIT","severity","closest","safteyScore","betweenness","carLane","bikeLane","streetLength","car.reverse","bike.reverse","foot","between","edgeBetweenness","saftyScore","lss"
"2004004844","2004","4","3","99","0","3","-79.968","40.5325","30","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.325301204819277","63","0","5","111.394508362","0","5","1","63","63","0.325301204819277","0"
"2004004909","2004","4","7","13","0","0","-79.9062","40.3856","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.40625","18","0","5","662.396118164","0","5","1","18","18","0.40625","2"
"2004016283","2004","4","5","15","0","3","-80.0246","40.4087","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.420195439739414","1","0","5","993.741943359","0","5","1","1","1","0.420195439739414","1"
"2004016780","2004","5","5","19","0","2","-79.903","40.4091","35","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.5","63","1","2","523.535827637","1","2","1","63","63","0.5","1"
"2004078102","2004","9","2","10","0","4","-79.7848","40.4507","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.385416666666667","126","2","2","1647.33813477","2","2","1","126","126","0.385416666666667","2"
"2004094883","2004","7","4","22","0","8","-80","40.4775","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.338235294117647","132","1","2","245.41317749","1","2","1","132","132","0.338235294117647","0"
"2005027724","2004","8","4","19","0","3","-79.9164","40.4677","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.401639344262295","5","1","2","664.280395508","1","2","1","5","5","0.401639344262295","2"
"2005125136","2005","4","2","17","0","4","-79.93599701","40.4530983","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.4","13.8333333333333","1","2","104.475166321","1","2","1","13.8333333333333","13.8333333333333","0.4","2"
"2005411590","2005","11","1","20","0","8","-79.94180298","40.44440079","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","79","0","5","36.1182327271","0","5","1","79","79","0","0"
"2006031516","2006","3","5","18","0","3","-79.93560028","40.44049835","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","1397","4","2","179.841949463","4","2","1","1397","1397","0","0"
