"edge_id","length","car","car.reverse","bike","bike.reverse","foot","saftyScore","betweenness","Speed_limit","Hilliness","lss","logbetweenness","residuals","predicted","logbetweennesst"
258,14.930519104,0,0,5,5,1,1,2,30,"flat",1,0,2.22044604925031e-16,0.993973214295578,0
229,40.3704605103,1,1,2,2,1,1,38,25,"up",1,0,0.0382283377443537,0.934833864873403,0
70,523.535827637,1,1,2,2,1,1,2,25,"down",1,0,0.0183824906058704,0.996354081269918,0
28,50.8932876587,1,1,2,2,1,1,454,35,"flat",1,5.851331,0.00382976098525922,0.992538011302907,5.851331
36,109.275680542,1,1,2,2,1,1,17.1666666666667,25,"flat",1,0,0.00172604995105119,0.997325388572392,0
26,28.561170578,1,1,2,2,1,1,9,25,"flat",1,0,0.00547520153792691,0.993486998432251,0
12,170.447036743,1,1,2,2,1,1,78,25,"flat",1,5.88934,0.00071828349707348,0.999999999974695,0
310,1.52192854881,0,0,5,5,1,1,186,30,"up",1,5.88934,0.0846877336061419,0.965232623915053,0
57,6.65766572952,1,1,2,2,1,1,1166,25,"flat",1,5.851331,0.0074819854955005,0.986896483813969,5.851331
221,245.41317749,1,1,2,2,1,1,785,25,"flat",1,5.851331,0.000245099360592027,0.999057208399965,5.851331
264,20.9919338226,0,0,5,5,1,1,80,25,"down",1,5.88934,0.342415005202396,0.749554331543705,0
127,107.432823181,0,0,5,5,1,1,379,40,"up",1,5.851331,0.0191028627908956,0.938543903907683,5.851331
30,607.922851562,1,1,2,2,1,1,16,25,"up",1,0,1.15490593122214e-05,0.99987010370632,0
134,25.0510482788,0,0,5,5,1,1,90,45,"up",1,5.88934,0.0586421148601453,0.975933669540001,0
259,71.0469207764,0,0,5,5,1,1,642,25,"up",1,5.851331,0.0336155088071139,0.900674020678327,5.851331
303,64.5044631958,0,0,5,5,1,1,52,25,"up",1,0,0.0368023178476304,0.957721509996881,0
312,23.2713508606,0,0,5,5,1,1,79,35,"up",1,5.88934,0.0622868957874022,0.973506096280357,0
201,75.1029968262,0,0,5,5,1,1,71,25,"up",1,5.88934,0.031775326590291,0.983683113956157,0
56,6.61692905426,1,1,2,2,1,1,1306,20,"up",1,5.851331,0.06171324792018,0.856561711464081,5.851331
217,94.80418396,2,2,2,2,1,1,129,25,"up",1,5.88934,0.22431830976773,0.999999998375261,0
294,334.05456543,0,0,5,5,1,1,84,25,"up",1,5.88934,0.000798148036667334,0.999058220265384,0
227,45.9106178284,1,1,2,2,1,1,753.166666666667,25,"up",1,5.851331,0.0354104875286063,0.905647362714803,5.851331
302,56.6329917908,0,0,5,5,1,1,1,35,"up",1,0,2.22044604925031e-16,0.957384643568122,0
53,25.7962665558,1,1,2,2,1,1,84,35,"up",1,5.88934,0.0450141949699457,0.999999998593586,0
155,205.878341675,0,0,5,5,1,1,96,25,"up",1,5.88934,0.00500030676017138,0.996117329079198,0
231,4.86305999756,1,1,2,2,1,1,148,25,"up",1,5.88934,0.0620526001377661,0.999999998081113,0
102,103.41342926,0,0,5,5,1,1,587,25,"up",1,5.851331,0.0213944991020166,0.928453382578469,5.851331
124,9.61615371704,0,0,5,5,1,1,82,25,"up",1,5.88934,0.0774780474237765,0.966878358522673,0
63,14.7165021896,1,1,2,2,1,1,1921,35,"up",1,5.851331,0.0523646870692076,0.880275540212899,5.851331
40,70.5328979492,1,1,2,2,1,1,201,35,"up",1,5.88934,0.024206364940568,0.999999999143055,0
313,46.718006134,0,0,5,5,1,1,234,25,"up",1,5.88934,0.0469992723426862,0.977790186719558,0
316,99.7244567871,0,0,5,5,1,1,924,25,"up",1,5.851331,0.0225312642864974,0.925691683745827,5.851331
95,6.35144805908,0,0,5,5,1,1,156,25,"flat",1,5.88934,0.0101854536968128,0.997077829889295,0
108,2.59991025925,0,0,5,5,1,1,901.333333333333,35,"flat",1,5.851331,0.0103397325894072,0.982370421901731,5.851331
161,2.52070641518,0,0,5,5,1,1,92,25,"flat",1,5.88934,0.0107547957230473,0.996951582867379,0
33,102.394218445,1,1,2,2,1,1,93,25,"flat",1,5.88934,0.00190483831997568,0.999999999946234,0
220,90.9756622314,2,2,2,2,1,1,446,25,"flat",1,5.851331,0.0344886837348569,0.886700576822091,5.851331
160,6.26932477951,0,0,5,5,1,1,80,25,"flat",1,5.88934,0.0101973405453269,0.997075178879147,0
304,3.94067263603,0,0,5,5,1,1,24,15,"flat",1,0,0.0109508764777609,0.992350744311354,0
