"edge_id","source","target","length","car","car.reverse","bike","bike.reverse","foot","WKT","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l17.1","l19","l20","l21","l22","l23","l24","l25","l26","l27","l28","l29","l30","l31","l32","l33","l34","l35","l36","l37","l38","l39","l40","l41","l42","l43","l44","l45","l46","l47","l48","l49","l50","l51","l52","l53","l54","l55","l56","l57","l58","l59","l60","l61","l62","l63","l64","l65","saftyScore","edgeBetweenness","f","betweenness"
258,924785116,924785117,14.930519104,0,0,5,5,1,"LINESTRING(-79.9360997 40.4390573","-79.9359238 40.439047)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,2,2
229,3103583478,3103583481,40.3704605103,1,1,2,2,1,"LINESTRING(-79.9345695 40.4385444","-79.9344528 40.4384707","-79.9343184 40.4383398","-79.9342729 40.438266)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,426,38,38
70,104857381,104857431,523.535827637,1,1,2,2,1,"LINESTRING(-79.9335577 40.4356155","-79.9331291 40.4357115","-79.9326251 40.435857","-79.9320476 40.4361362","-79.9314874 40.4364031","-79.9310832 40.4365276","-79.9306683 40.4365912","-79.9276825 40.4367772)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,88,2,2
28,105142425,104382840,50.8932876587,1,1,2,2,1,"LINESTRING(-79.937696 40.4399332","-79.9376607 40.4398693","-79.9375868 40.4398109","-79.9373713 40.4397684","-79.9371968 40.4397314)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,263,454,454
36,105138944,104949814,109.275680542,1,1,2,2,1,"LINESTRING(-79.9344431 40.440934","-79.9332475 40.4413052)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,682.666666666667,17.1666666666667,17.1666666666667
26,104382840,105058025,28.561170578,1,1,2,2,1,"LINESTRING(-79.9371968 40.4397314","-79.9371006 40.4399776)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,68,9,9
12,104949802,104949814,170.447036743,1,1,2,2,1,"LINESTRING(-79.9340311 40.4427173","-79.9332475 40.4413052)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,19.5,78,78
310,4961818958,924785112,1.52192854881,0,0,5,5,1,"LINESTRING(-79.9420839 40.4440882","-79.9420665 40.4440847)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,63,186,186
57,472546699,1781186411,6.65766572952,1,1,2,2,1,"LINESTRING(-79.940685 40.441568","-79.9406089 40.4415528)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,893,1166,1166
221,106098077,302755545,245.41317749,1,1,2,2,1,"LINESTRING(-79.9470669 40.4414939","-79.9465457 40.4413898","-79.9445578 40.4409928","-79.9442617 40.4409344)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,50,785,785
264,3643294726,3103583477,20.9919338226,0,0,5,5,1,"LINESTRING(-79.9348985 40.4384205","-79.9347991 40.4385507","-79.9347889 40.4385881)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,32,80,80
127,302967361,302967376,107.432823181,0,0,5,5,1,"LINESTRING(-79.9413277 40.4431185","-79.941362 40.4432035","-79.9413706 40.4432949","-79.9413706 40.4433537","-79.9413535 40.4434255","-79.9413191 40.4434909","-79.9412762 40.4435497","-79.9412247 40.4436019","-79.9411646 40.4436411","-79.9411217 40.4436607","-79.9410445 40.4436868","-79.9409672 40.443713","-79.9408986 40.443726","-79.9408299 40.443726","-79.9407612 40.443726","-79.9406943 40.4437672)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,414,379,379
30,270187342,105681731,607.922851562,1,1,2,2,1,"LINESTRING(-79.940574 40.436599","-79.9393837 40.4366405","-79.9386289 40.4366814","-79.9383478 40.4365145","-79.9379275 40.4357301","-79.9376974 40.435318","-79.9374256 40.4351699","-79.9371494 40.4351445","-79.9368732 40.4352852","-79.936498 40.4356458","-79.936177 40.4356947","-79.9358972 40.43558","-79.9351739 40.4350738)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,42,16,16
